free_text,label_id
trắng thế em ơi,2
to thế em ơi,2
muốn húp thế em ơi,2
múp thế em ơi,2
nuột thế em ơi,2
ngon thế em ơi,2
tươi thế em ơi,2
"cái biểu cảm mà bth chỉ gặp trong phim 18+ =)) chắc cô này học hỏi dữ lắm nè, t thấy rất có triển vọng, qua Nhật đóng phim 18+ có khi ngon hơn đấy",2
"cái biểu cảm mà bth chỉ gặp trong phim heo =)) chắc cô này học hỏi dữ lắm nè, t thấy rất có triển vọng, qua Nhật đóng phim heo có khi ngon hơn đấy",2
"cái biểu cảm mà bth chỉ gặp trong phim jav =)) chắc cô này học hỏi dữ lắm nè, t thấy rất có triển vọng, qua Nhật đóng phim jav có khi ngon hơn đấy",2
"cái biểu cảm mà bth chỉ gặp trong phim khiêu dâm =)) chắc cô này học hỏi dữ lắm nè, t thấy rất có triển vọng, qua Nhật đóng phim khiêu dâm có khi ngon hơn đấy",2
"cái biểu cảm mà bth chỉ gặp trong phim con heo =)) chắc cô này học hỏi dữ lắm nè, t thấy rất có triển vọng, qua Nhật đóng phim con heo có khi ngon hơn đấy",2
"cái biểu cảm mà bth chỉ gặp trong phim xxx =)) chắc cô này học hỏi dữ lắm nè, t thấy rất có triển vọng, qua Nhật đóng phim xxx có khi ngon hơn đấy",2
"cái biểu cảm mà bth chỉ gặp trong phim sex =)) chắc cô này học hỏi dữ lắm nè, t thấy rất có triển vọng, qua Nhật đóng phim sex có khi ngon hơn đấy",2
cặp vú muốn húp thế em ơi,2
cặp vú trắng thế em ơi,2
ngực tươi thế em ơi,2
ngực nuột thế em ơi,2
mông má trắng thế em ơi,2
ngực to thế em ơi,2
ngực muốn húp thế em ơi,2
cặp loa ngon thế em ơi,2
mông má ngon thế em ơi,2
cặp vú múp thế em ơi,2
tâm hồn muốn húp thế em ơi,2
cặp đít to thế em ơi,2
cặp mông tươi thế em ơi,2
cặp mông ngon thế em ơi,2
mông má tươi thế em ơi,2
cặp loa trắng thế em ơi,2
cặp loa múp thế em ơi,2
tâm hồn tươi thế em ơi,2
cặp mông trắng thế em ơi,2
