free_text,label_id
đ ai bắt xem ?,1
éo ai bắt xem ?,1
đéo ai bắt xem ?,1
địt mẹ m mặc sịp vào chim to xàm lol ạ,1
địt con mẹ mặc sịp vào chim to cái lol ạ,1
đumeo mặc sịp vào chim to vcl ạ,1
duma mặc sịp vào chim to xàm l ạ,1
địt mẹ m mặc sịp vào chim to vcd ạ,1
địt mẹ mặc sịp vào chim to vãi lon ạ,1
địt mẹ m mặc sịp vào chim to xàm l ạ,1
đm mặc sịp vào chim to mẹ cha mày ạ,1
địt mẹ m mặc sịp vào chim to vlol ạ,1
đụ mé mặc sịp vào chim to cái lồn ạ,1
đcm mặc sịp vào chim to vlol ạ,1
duma mặc sịp vào chim to con cặc ạ,1
địt mẹ m mặc sịp vào chim to cl ạ,1
đcm mặc sịp vào chim to vãi lúa ạ,1
đme mặc sịp vào chim to vcd ạ,1
đumeo mặc sịp vào chim to mẹ cha mày ạ,1
duma mặc sịp vào chim to con căk ạ,1
địt mẹ mặc sịp vào chim to cl ạ,1
ditme mặc sịp vào chim to cl ạ,1
duma mặc sịp vào chim to cái đéo gì ạ,1
đcm mặc sịp vào chim to xàm lol ạ,1
đụ má m mặc sịp vào chim to vcd ạ,1
đume mặc sịp vào chim to vãi cả đái ạ,1
địt mẹ mày mặc sịp vào chim to vcd ạ,1
đme mặc sịp vào chim to con cak ạ,1
đume mặc sịp vào chim to con cak ạ,1
ditme mặc sịp vào chim to vãi cả lon ạ,1
đmm mặc sịp vào chim to cc ạ,1
địt mẹ m mặc sịp vào chim to con mẹ nó ạ,1
duma mặc sịp vào chim to clg ạ,1
địt con mẹ mặc sịp vào chim to vãi cả đái ạ,1
địt mẹ m mặc sịp vào chim to vcl ạ,1
đumeo mặc sịp vào chim to clg ạ,1
đcm mặc sịp vào chim to vl ạ,1
đume mặc sịp vào chim to mẹ cha mày ạ,1
đcm mặc sịp vào chim to cái đ gì ạ,1
đuma mặc sịp vào chim to xl ạ,1
địt mẹ m mặc sịp vào chim to vãi lồn ạ,1
địt mẹ m mặc sịp vào chim to con cặc ạ,1
địt mẹ mặc sịp vào chim to mẹ cha mày ạ,1
đụ má m mặc sịp vào chim to cc ạ,1
duma mặc sịp vào chim to vcđ ạ,1
địt mẹ mặc sịp vào chim to vcd ạ,1
đume mặc sịp vào chim to con cặc ạ,1
duma mặc sịp vào chim to xàm lol ạ,1
đmm mặc sịp vào chim to mẹ nó ạ,1
duma mặc sịp vào chim to cmn ạ,1
đcm mặc sịp vào chim to vãi cả lon ạ,1
duma mặc sịp vào chim to cđg ạ,1
đcm mặc sịp vào chim to cđg ạ,1
