free_text,label_id
đéo ai bắt xem ?,4
cút mẹ mày ai bắt xem ?,4
ông ngậm mẹ mõm đi,4
thằng câm mẹ mồm đi,4
anh mõm chó đi,4
chị mõm chó đi,4
lũ câm mẹ mồm đi,4
thím ngậm mẹ mõm đi,4
má mõm chó đi,4
bạn sủa đi,4
ba câm mẹ mồm đi,4
mụ câm mẹ mồm đi,4
chị ngậm mẹ mồm đi,4
thằng ngậm mẹ mồm đi,4
bà im mẹ mồm đi,4
lũ im mẹ mồm đi,4
con sủa đi,4
ông câm mẹ mồm đi,4
ông mõm chó đi,4
anh ngậm mẹ mồm đi,4
mụ ngậm mẹ mõm đi,4
con câm mẹ mồm đi,4
lũ câm cái mồm mày đi,4
bạn ngậm mẹ mồm đi,4
thầy mõm chó đi,4
thằng câm cái mồm mày đi,4
thầy im mẹ mồm đi,4
em ngậm mẹ mõm đi,4
em ngậm mẹ mồm đi,4
thằng im mẹ mồm đi,4
mụ im mẹ mồm đi,4
ông sủa đi,4
thầy ngậm mẹ mõm đi,4
anh em mõm chó đi,4
con im mẹ mồm đi,4
anh câm mẹ mồm đi,4
má im mẹ mồm đi,4
thím câm cái mồm mày đi,4
bạn câm mẹ mồm đi,4
ba ngậm mẹ mõm đi,4
mày mõm chó đi,4
ông ngậm mẹ mồm đi,4
lũ sủa đi,4
em im mẹ mồm đi,4
con mõm chó đi,4
em câm cái mồm mày đi,4
thím sủa đi,4
mụ ngậm mẹ mồm đi,4
bà ngậm mẹ mồm đi,4
má câm cái mồm mày đi,4
má ngậm mẹ mõm đi,4
chị im mẹ mồm đi,4
ba im mẹ mồm đi,4
anh câm cái mồm mày đi,4
ông im mẹ mồm đi,4
bạn im mẹ mồm đi,4
thím ngậm mẹ mồm đi,4
bà mõm chó đi,4
má câm mẹ mồm đi,4
thầy sủa đi,4
ba câm cái mồm mày đi,4
chị sủa đi,4
anh im mẹ mồm đi,4
em mõm chó đi,4
lũ ngậm mẹ mõm đi,4
mụ mõm chó đi,4
anh em ngậm mẹ mồm đi,4
bà sủa đi,4
thằng ngậm mẹ mõm đi,4
ông câm cái mồm mày đi,4
mày câm cái mồm mày đi,4
anh sủa đi,4
má ngậm mẹ mồm đi,4
anh em ngậm mẹ mõm đi,4
thím mõm chó đi,4
bà câm cái mồm mày đi,4
thím im mẹ mồm đi,4
anh em sủa đi,4
mày sủa đi,4
bạn câm cái mồm mày đi,4
anh em câm mẹ mồm đi,4
chị câm mẹ mồm đi,4
mày ngậm mẹ mõm đi,4
mày ngậm mẹ mồm đi,4
em sủa đi,4
anh ngậm mẹ mõm đi,4
bà ngậm mẹ mõm đi,4
thầy câm mẹ mồm đi,4
con ngậm mẹ mồm đi,4
anh em im mẹ mồm đi,4
em câm mẹ mồm đi,4
má sủa đi,4
anh em câm cái mồm mày đi,4
thằng sủa đi,4
mụ sủa đi,4
con ngậm mẹ mõm đi,4
con câm cái mồm mày đi,4
chị câm cái mồm mày đi,4
chị ngậm mẹ mõm đi,4
bạn ngậm mẹ mõm đi,4
lũ mõm chó đi,4
mày im mẹ mồm đi,4
thằng mõm chó đi,4
ba sủa đi,4
ba mõm chó đi,4
bạn mõm chó đi,4
thầy ngậm mẹ mồm đi,4
mày câm mẹ mồm đi,4
thím câm mẹ mồm đi,4
ba ngậm mẹ mồm đi,4
lũ ngậm mẹ mồm đi,4
mụ câm cái mồm mày đi,4
bà câm mẹ mồm đi,4
thầy câm cái mồm mày đi,4
mé có con mẹ nó hết được nghĩ gì vậy bà,4
mé có mẹ nó hết được nghĩ gì vậy em,4
mé có con mẹ nó hết được nghĩ gì vậy anh,4
mé có vãi cả đái hết được nghĩ gì vậy ông,4
mé có cái đéo gì hết được nghĩ gì vậy thím,4
mé có cái đìn địt hết được nghĩ gì vậy ba,4
mé có mẹ cha mày hết được nghĩ gì vậy mụ,4
mé có vãi lồn hết được nghĩ gì vậy bà,4
mé có xàm lồn hết được nghĩ gì vậy em,4
mé có vãi cả đái hết được nghĩ gì vậy bà,4
mé có vãi luyện hết được nghĩ gì vậy anh,4
mé có xàm lồn hết được nghĩ gì vậy mày,4
mé có vãi cả đái hết được nghĩ gì vậy má,4
mé có mẹ nó hết được nghĩ gì vậy anh,4
mé có nhảm lồn hết được nghĩ gì vậy anh,4
mé có nhảm lồn hết được nghĩ gì vậy em,4
mé có cái đìn địt hết được nghĩ gì vậy thằng,4
mé có nhảm lồn hết được nghĩ gì vậy mụ,4
mé có vãi lúa hết được nghĩ gì vậy chị,4
mé có cái đéo gì hết được nghĩ gì vậy má,4
mé có con mẹ nó hết được nghĩ gì vậy anh em,4
mé có vãi lúa hết được nghĩ gì vậy thím,4
mé có cái đéo gì hết được nghĩ gì vậy mày,4
mé có vãi cứt hết được nghĩ gì vậy thầy,4
mé có vãi luyện hết được nghĩ gì vậy con,4
mé có mẹ nó hết được nghĩ gì vậy chị,4
mé có vãi cứt hết được nghĩ gì vậy ba,4
mé có vãi cả đái hết được nghĩ gì vậy thím,4
mé có cái đéo gì hết được nghĩ gì vậy ba,4
mé có nhảm lồn hết được nghĩ gì vậy chị,4
mé có vãi lúa hết được nghĩ gì vậy lũ,4
mé có xàm lồn hết được nghĩ gì vậy bà,4
mé có xàm lồn hết được nghĩ gì vậy thím,4
mé có vãi cả đái hết được nghĩ gì vậy con,4
mé có con mẹ nó hết được nghĩ gì vậy thím,4
mé có nhảm lồn hết được nghĩ gì vậy bà,4
mé có cái đéo gì hết được nghĩ gì vậy bà,4
mé có vãi cả đái hết được nghĩ gì vậy lũ,4
mé có xàm lồn hết được nghĩ gì vậy anh,4
mé có mẹ nó hết được nghĩ gì vậy bạn,4
mé có nhảm lồn hết được nghĩ gì vậy má,4
mé có vãi lồn hết được nghĩ gì vậy má,4
mé có mẹ cha mày hết được nghĩ gì vậy con,4
mé có vãi lồn hết được nghĩ gì vậy ông,4
mé có vãi cứt hết được nghĩ gì vậy anh,4
mé có vãi lúa hết được nghĩ gì vậy thầy,4
mé có cái đìn địt hết được nghĩ gì vậy lũ,4
mé có cái đìn địt hết được nghĩ gì vậy chị,4
mé có mẹ nó hết được nghĩ gì vậy thằng,4
mé có cái đìn địt hết được nghĩ gì vậy mụ,4
mé có xàm lồn hết được nghĩ gì vậy mụ,4
mé có con mẹ nó hết được nghĩ gì vậy chị,4
mé có vãi lồn hết được nghĩ gì vậy mụ,4
mé có cái lồn hết được nghĩ gì vậy mày,4
mé có vãi lúa hết được nghĩ gì vậy anh,4
mé có cái lồn hết được nghĩ gì vậy thầy,4
mé có vãi cả đái hết được nghĩ gì vậy ba,4
mé có vãi luyện hết được nghĩ gì vậy ông,4
mé có vãi luyện hết được nghĩ gì vậy anh em,4
mé có vãi luyện hết được nghĩ gì vậy bạn,4
mé có cái lồn hết được nghĩ gì vậy ông,4
mé có con mẹ nó hết được nghĩ gì vậy thằng,4
mé có cái lồn hết được nghĩ gì vậy anh em,4
mé có xàm lồn hết được nghĩ gì vậy lũ,4
