free_text,label_id
đ ai bắt xem ?,0
éo ai bắt xem ?,0
đéo ai bắt xem ?,0
đắt vlol,0
đắt vcl,0
đắt cđg,0
đắt con cak,0
đắt vãi luyện,0
đắt cái đéo gì,0
đắt vcđ,0
đắt vãi cả đái,0
đắt con mẹ nó,0
đắt cmn,0
đắt cái lồn,0
đắt cái l gì,0
đắt clg,0
đắt vãi lon,0
đắt xl,0
đắt mẹ cha mày,0
đắt xàm lồn,0
đắt cc,0
đắt vãi cả lon,0
đắt xàm lol,0
đắt cái đ gì,0
đắt cl,0
đắt mẹ nó,0
đắt vãi cả lồn,0
đắt vãi lúa,0
đắt cái lol,0
đắt vl,0
đắt xàm l,0
đắt vãi lồn,0
đắt con căk,0
đắt vcd,0
đắt con cặc,0
em ngậm mẹ mồm đi,0
ba ngậm mẹ mõm đi,0
chị nói cđg đi,0
ae ngậm mẹ mõm đi,0
mày câm mm đi,0
mày ngậm mẹ mồm đi,0
mày sủa đi,0
m câm mm đi,0
ba ngậm mẹ mồm đi,0
má ngậm mẹ mồm đi,0
má câm mm đi,0
em câm mẹ mồm đi,0
mày mõm chó đi,0
anh sủa đi,0
anh mõm chó đi,0
ba mõm chó đi,0
ông ngậm mẹ mõm đi,0
má sủa đi,0
ba sủa đi,0
má nói cđg đi,0
em im mẹ mồm đi,0
chị mõm chó đi,0
anh im mẹ mồm đi,0
anh em ngậm mẹ mồm đi,0
bạn ngậm mẹ mõm đi,0
bà sủa đi,0
m ngậm mẹ mồm đi,0
mày ngậm mẹ mõm đi,0
ae ngậm mẹ mồm đi,0
ông câm mẹ mồm đi,0
bạn câm mm đi,0
anh câm mm đi,0
ae mõm chó đi,0
mụ im mẹ mồm đi,0
mụ sủa đi,0
bạn câm mẹ mồm đi,0
bạn sủa đi,0
ông câm mm đi,0
anh em ngậm mẹ mõm đi,0
m im mẹ mồm đi,0
bạn câm cái mồm mày đi,0
ông mõm chó đi,0
ae sủa đi,0
má câm mẹ mồm đi,0
má câm cái mồm mày đi,0
anh ngậm mẹ mõm đi,0
em nói cđg đi,0
ba nói cđg đi,0
chị ngậm mẹ mồm đi,0
m câm mẹ mồm đi,0
ông câm cái mồm mày đi,0
em câm mm đi,0
ae nói cđg đi,0
má mõm chó đi,0
chị câm mẹ mồm đi,0
ba câm mm đi,0
ông im mẹ mồm đi,0
bà câm mm đi,0
mày câm cái mồm mày đi,0
bà im mẹ mồm đi,0
bà ngậm mẹ mõm đi,0
ông sủa đi,0
anh em sủa đi,0
bà nói cđg đi,0
anh câm cái mồm mày đi,0
mụ câm cái mồm mày đi,0
bạn nói cđg đi,0
mày nói cđg đi,0
chị im mẹ mồm đi,0
bạn im mẹ mồm đi,0
mụ câm mm đi,0
anh em câm cái mồm mày đi,0
mụ ngậm mẹ mồm đi,0
bạn ngậm mẹ mồm đi,0
ae câm mẹ mồm đi,0
m sủa đi,0
anh em mõm chó đi,0
anh em im mẹ mồm đi,0
ae câm mm đi,0
chị sủa đi,0
bạn mõm chó đi,0
ba im mẹ mồm đi,0
mụ nói cđg đi,0
ba câm cái mồm mày đi,0
ba câm mẹ mồm đi,0
em sủa đi,0
má ngậm mẹ mõm đi,0
anh câm mẹ mồm đi,0
chị câm mm đi,0
má im mẹ mồm đi,0
ông nói cđg đi,0
bà ngậm mẹ mồm đi,0
bà câm cái mồm mày đi,0
ông ngậm mẹ mồm đi,0
mụ ngậm mẹ mõm đi,0
chị ngậm mẹ mõm đi,0
mày im mẹ mồm đi,0
m mõm chó đi,0
anh em câm mẹ mồm đi,0
ae im mẹ mồm đi,0
m nói cđg đi,0
chị câm cái mồm mày đi,0
anh em câm mm đi,0
anh nói cđg đi,0
bà câm mẹ mồm đi,0
em ngậm mẹ mõm đi,0
mụ câm mẹ mồm đi,0
m câm cái mồm mày đi,0
ae câm cái mồm mày đi,0
em mõm chó đi,0
mụ mõm chó đi,0
anh ngậm mẹ mồm đi,0
bà mõm chó đi,0
m ngậm mẹ mõm đi,0
mày câm mẹ mồm đi,0
anh em nói cđg đi,0
em câm cái mồm mày đi,0
mé có xàm l hết được nghĩ gì vậy má,0
mé có xàm lồn hết được nghĩ gì vậy em,0
mé có cái l gì hết được nghĩ gì vậy mày,0
mé có vlol hết được nghĩ gì vậy ba,0
mé có cái đ gì hết được nghĩ gì vậy má,0
mé có cl hết được nghĩ gì vậy anh em,0
mé có vãi cả lồn hết được nghĩ gì vậy bạn,0
mé có con căk hết được nghĩ gì vậy mụ,0
mé có xàm lol hết được nghĩ gì vậy bạn,0
mé có cái đ gì hết được nghĩ gì vậy mụ,0
mé có cái l gì hết được nghĩ gì vậy em,0
mé có vãi luyện hết được nghĩ gì vậy chị,0
mé có xàm lồn hết được nghĩ gì vậy bà,0
mé có mẹ nó hết được nghĩ gì vậy bà,0
mé có cmn hết được nghĩ gì vậy m,0
mé có vãi luyện hết được nghĩ gì vậy mụ,0
mé có con căk hết được nghĩ gì vậy m,0
mé có mẹ cha mày hết được nghĩ gì vậy ae,0
mé có vãi cả lồn hết được nghĩ gì vậy má,0
mé có vcd hết được nghĩ gì vậy mụ,0
mé có cc hết được nghĩ gì vậy em,0
mé có vcl hết được nghĩ gì vậy chị,0
mé có vãi cả lon hết được nghĩ gì vậy ba,0
mé có vãi lon hết được nghĩ gì vậy mụ,0
mé có cmn hết được nghĩ gì vậy má,0
mé có con cak hết được nghĩ gì vậy má,0
