free_text,label_id
chó nam không ra nam nữ không ra nữ vô đọc,3
chó ô môi vô đọc,3
chó gay vô đọc,3
chó bd vô đọc,3
chó gay lọ vô đọc,3
chó pónk chúa vô đọc,3
chó póng vô đọc,3
chó pónk vô đọc,3
chó ái vô đọc,3
chó 3D vô đọc,3
chó gay lọ bóng chó vô đọc,3
chó hai phai vô đọc,3
chó bê đê vô đọc,3
chó bede vô đọc,3
chó bóng vô đọc,3
chó chuyển giới vô đọc,3
chó con bóng vô đọc,3
chó bê đê bóng chó vô đọc,3
chó bóng chúa vô đọc,3
chó bóng gió vô đọc,3
chó đồng tính vô đọc,3
ok nói thẳng ái là 1 loại bệnh thần kinh,3
ok nói thẳng bóng gió là 1 loại bệnh thần kinh,3
ok nói thẳng bede là 1 loại bệnh thần kinh,3
ok nói thẳng bóng là 1 loại bệnh thần kinh,3
ok nói thẳng ô môi là 1 loại bệnh thần kinh,3
ok nói thẳng 3D là 1 loại bệnh thần kinh,3
ok nói thẳng gay lọ là 1 loại bệnh thần kinh,3
ok nói thẳng hai phai là 1 loại bệnh thần kinh,3
ok nói thẳng pónk là 1 loại bệnh thần kinh,3
ok nói thẳng gay lọ bóng chó là 1 loại bệnh thần kinh,3
ok nói thẳng chuyển giới là 1 loại bệnh thần kinh,3
ok nói thẳng nam không ra nam nữ không ra nữ là 1 loại bệnh thần kinh,3
ok nói thẳng pónk chúa là 1 loại bệnh thần kinh,3
ok nói thẳng gay là 1 loại bệnh thần kinh,3
ok nói thẳng póng là 1 loại bệnh thần kinh,3
ok nói thẳng bóng chúa là 1 loại bệnh thần kinh,3
ok nói thẳng đồng tính là 1 loại bệnh thần kinh,3
ok nói thẳng bd là 1 loại bệnh thần kinh,3
ok nói thẳng bê đê bóng chó là 1 loại bệnh thần kinh,3
ok nói thẳng con bóng là 1 loại bệnh thần kinh,3
ok nói thẳng bê đê là 1 loại bệnh thần kinh,3
mấy thằng bede tởm,3
mấy thằng ái tởm lợm,3
mấy thằng chuyển giới ghê,3
mấy thằng bóng tởm,3
mấy thằng pónk chúa ghê tởm,3
mấy thằng gay lọ bóng chó tởm lợm,3
mấy thằng gay lọ bóng chó kinh tởm,3
mấy thằng 3D tởm,3
mấy thằng bóng chúa dơ,3
mấy thằng bóng chúa kinh tởm,3
mấy thằng ái ghê tởm,3
mấy thằng pónk tởm lợm,3
mấy thằng gay lọ bóng chó ghê,3
mấy thằng bóng gió tởm lợm,3
mấy thằng hai phai tởm,3
mấy thằng gay lọ ghê,3
mấy thằng bede kinh tởm,3
mấy thằng bê đê bóng chó tởm,3
mấy thằng nam không ra nam nữ không ra nữ dơ,3
mấy thằng bê đê kinh tởm,3
mấy thằng gay lọ ghê tởm,3
mấy thằng ái tởm,3
mấy thằng pónk tởm,3
mấy thằng póng kinh tởm,3
mấy thằng con bóng tởm lợm,3
mấy thằng póng tởm lợm,3
mấy thằng bd kinh tởm,3
mấy thằng gay tởm,3
mấy thằng ái kinh tởm,3
mấy thằng hai phai tởm lợm,3
mấy thằng gay lọ tởm,3
mấy thằng chuyển giới ghê tởm,3
mấy thằng con bóng tởm,3
mấy thằng pónk chúa ghê,3
mấy thằng bóng kinh tởm,3
mấy thằng 3D ghê,3
mấy thằng gay tởm lợm,3
mấy thằng bê đê bóng chó ghê tởm,3
mấy thằng bóng gió dơ,3
mấy thằng 3D ghê tởm,3
mấy thằng bê đê tởm,3
mấy thằng đồng tính tởm,3
mấy thằng pónk kinh tởm,3
mấy thằng 3D kinh tởm,3
mấy thằng gay lọ bóng chó dơ,3
mấy thằng gay ghê tởm,3
mấy thằng hai phai ghê,3
mấy thằng bê đê bóng chó ghê,3
mấy thằng con bóng ghê,3
mấy thằng nam không ra nam nữ không ra nữ kinh tởm,3
mấy thằng bede ghê tởm,3
mấy thằng con bóng dơ,3
mấy thằng đồng tính kinh tởm,3
mấy thằng gay lọ bóng chó tởm,3
mấy thằng pónk chúa tởm,3
mấy thằng pónk chúa tởm lợm,3
mấy thằng ô môi kinh tởm,3
mấy thằng póng ghê tởm,3
mấy thằng bóng gió tởm,3
mấy thằng con bóng kinh tởm,3
mấy thằng đồng tính ghê,3
mấy thằng bóng chúa tởm,3
mấy thằng pónk chúa dơ,3
mấy thằng con bóng ghê tởm,3
mấy thằng chuyển giới tởm lợm,3
mấy thằng nam không ra nam nữ không ra nữ ghê,3
mấy thằng bóng gió ghê,3
mấy thằng bóng tởm lợm,3
mấy thằng bê đê tởm lợm,3
mấy thằng bóng gió ghê tởm,3
mấy thằng bd tởm,3
mấy thằng bd ghê,3
mấy thằng gay lọ dơ,3
mấy thằng gay dơ,3
mấy thằng bê đê bóng chó dơ,3
mấy thằng ô môi tởm,3
mấy thằng bê đê dơ,3
mấy thằng hai phai ghê tởm,3
mấy thằng chuyển giới tởm,3
mấy thằng bê đê bóng chó kinh tởm,3
mấy thằng gay ghê,3
mấy thằng hai phai dơ,3
mấy thằng bóng chúa ghê tởm,3
mấy thằng gay lọ kinh tởm,3
mấy thằng bóng chúa tởm lợm,3
mấy thằng bd dơ,3
mấy thằng gay kinh tởm,3
mấy thằng nam không ra nam nữ không ra nữ ghê tởm,3
mấy thằng ô môi dơ,3
mấy thằng hai phai kinh tởm,3
mấy thằng đồng tính tởm lợm,3
mấy thằng bóng ghê,3
mấy thằng bede ghê,3
mấy thằng pónk ghê,3
mấy thằng bóng dơ,3
mấy thằng póng ghê,3
mấy thằng bóng chúa ghê,3
mấy thằng bê đê ghê,3
mấy thằng nam không ra nam nữ không ra nữ tởm lợm,3
mấy thằng gay lọ bóng chó ghê tởm,3
mấy thằng póng tởm,3
mấy thằng 3D dơ,3
mấy thằng bóng gió kinh tởm,3
mấy thằng gay lọ tởm lợm,3
mấy thằng bede tởm lợm,3
mấy thằng bóng ghê tởm,3
mấy thằng ô môi ghê tởm,3
mấy thằng bd tởm lợm,3
mấy thằng ái ghê,3
mấy thằng đồng tính dơ,3
mấy thằng đồng tính ghê tởm,3
mấy thằng póng dơ,3
mấy thằng bede dơ,3
mấy thằng pónk chúa kinh tởm,3
mấy thằng nam không ra nam nữ không ra nữ tởm,3
mấy thằng pónk ghê tởm,3
mấy thằng chuyển giới kinh tởm,3
mấy thằng bê đê bóng chó tởm lợm,3
mấy thằng bd ghê tởm,3
mấy thằng chuyển giới dơ,3
mấy thằng bê đê ghê tởm,3
mấy thằng ái dơ,3
mấy thằng pónk dơ,3
mấy thằng ô môi tởm lợm,3
mấy thằng 3D tởm lợm,3
mấy thằng ô môi ghê,3
một thằng gay tốt là 1 thằng gay đã chết,3
một thằng bd tốt là 1 thằng bd đã chết,3
một thằng ô môi tốt là 1 thằng ô môi đã chết,3
một thằng póng tốt là 1 thằng póng đã chết,3
một thằng đồng tính tốt là 1 thằng đồng tính đã chết,3
một thằng chuyển giới tốt là 1 thằng chuyển giới đã chết,3
một thằng pónk tốt là 1 thằng pónk đã chết,3
một thằng 3D tốt là 1 thằng 3D đã chết,3
một thằng bóng gió tốt là 1 thằng bóng gió đã chết,3
một thằng pónk chúa tốt là 1 thằng pónk chúa đã chết,3
một thằng ái tốt là 1 thằng ái đã chết,3
một thằng nam không ra nam nữ không ra nữ tốt là 1 thằng nam không ra nam nữ không ra nữ đã chết,3
một thằng bê đê tốt là 1 thằng bê đê đã chết,3
một thằng gay lọ bóng chó tốt là 1 thằng gay lọ bóng chó đã chết,3
một thằng gay lọ tốt là 1 thằng gay lọ đã chết,3
một thằng bóng tốt là 1 thằng bóng đã chết,3
một thằng bede tốt là 1 thằng bede đã chết,3
một thằng con bóng tốt là 1 thằng con bóng đã chết,3
một thằng bóng chúa tốt là 1 thằng bóng chúa đã chết,3
một thằng bê đê bóng chó tốt là 1 thằng bê đê bóng chó đã chết,3
một thằng hai phai tốt là 1 thằng hai phai đã chết,3
con bóng là bất hiếu,3
póng là bất hiếu,3
gay là bất hiếu,3
gay lọ bóng chó là bất hiếu,3
bóng chúa là bất hiếu,3
gay lọ là bất hiếu,3
pónk là bất hiếu,3
3D là bất hiếu,3
bede là bất hiếu,3
nam không ra nam nữ không ra nữ là bất hiếu,3
bê đê bóng chó là bất hiếu,3
chuyển giới là bất hiếu,3
pónk chúa là bất hiếu,3
bê đê là bất hiếu,3
bóng gió là bất hiếu,3
hai phai là bất hiếu,3
bóng là bất hiếu,3
ái là bất hiếu,3
ô môi là bất hiếu,3
bd là bất hiếu,3
đồng tính là bất hiếu,3
"Dạo này có 2 con đồng tính Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con gay lọ bóng chó Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con con bóng Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con ái Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con gay Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con bê đê Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con ô môi Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con gay lọ Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con bede Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con póng Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con bd Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con chuyển giới Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con pónk Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con nam không ra nam nữ không ra nữ Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con bóng chúa Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con bóng gió Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con 3D Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con hai phai Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con bê đê bóng chó Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con bóng Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
"Dạo này có 2 con pónk chúa Quang Trung - Quốc Khánh hay diễn trò trên tiktok với game show. Bọn trẻ con vào hùa khen dễ thương các loại, mạt vận",3
thấy cái lũ bóng gió là loại ma quỷ đầu thai đấy.,3
thấy cái lũ bede là loại ma quỷ đầu thai đấy.,3
thấy cái lũ gay lọ là loại ma quỷ đầu thai đấy.,3
thấy cái lũ póng là loại ma quỷ đầu thai đấy.,3
thấy cái lũ bóng chúa là loại ma quỷ đầu thai đấy.,3
thấy cái lũ hai phai là loại ma quỷ đầu thai đấy.,3
thấy cái lũ nam không ra nam nữ không ra nữ là loại ma quỷ đầu thai đấy.,3
thấy cái lũ 3D là loại ma quỷ đầu thai đấy.,3
thấy cái lũ ái là loại ma quỷ đầu thai đấy.,3
thấy cái lũ gay lọ bóng chó là loại ma quỷ đầu thai đấy.,3
thấy cái lũ bóng là loại ma quỷ đầu thai đấy.,3
thấy cái lũ chuyển giới là loại ma quỷ đầu thai đấy.,3
thấy cái lũ con bóng là loại ma quỷ đầu thai đấy.,3
thấy cái lũ pónk là loại ma quỷ đầu thai đấy.,3
thấy cái lũ đồng tính là loại ma quỷ đầu thai đấy.,3
thấy cái lũ pónk chúa là loại ma quỷ đầu thai đấy.,3
